name,set,description,weight,durability,type
Hollow Warrior Helm,Hollow Warrior,"Helm worn by Hollow warriors. Although it is made of iron, it is old, battered and worn out.|It is wise to wear a sturdy form of head protection against arrows and other physical threats.",2.6,250,Head Armor
Hollow Warrior Waistcloth,Hollow Warrior,Waistcloth worn by Hollow Warriors. It is so tattered that it barely serves its purpose anymore.,1.4,250,Legs Armor
Holy Robe,Holy,"Robe donned by the men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm.|Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual of self-purification of the Way of the White.",4.0,350,Chest Armor
Holy Trousers,Holy,"Trousers donned by the men of the cloth, Though plain to the naked eye, their hardy fabric repels rain and keeps the body warm.|Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual of self-purification of the Way of the White.",2.0,350,Legs Armor
Iron Bracelet,Iron,"Bracelets of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.|Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.",4.3,350,Hands Armor
Iron Helm,Iron,"Helm of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.|Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.",4.5,350,Head Armor
Iron Leggings,Iron,"Leggings of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.|Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.",5.3,350,Legs Armor
Knight Armor,Knight,"Armor of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection.",10.9,400,Chest Armor
Knight Gauntlets,Knight,"Gauntlets of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection.",3.5,400,Hands Armor
Knight Helm,Knight,"Helm of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection.",4.2,400,Head Armor
Knight Leggings,Knight,"Leggings of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection.",6.4,400,Legs Armor
Leather Armor,Leather,Armor made of soft leather. Very common type of protective gear.,4.7,250,Chest Armor
Leather Boots,Leather,Boots made of soft leather. Very common type of protective gear.,2.8,250,Legs Armor
Leather Gauntlets,Chain,Gauntlets made of soft leather. One of the more common kinds of protective gear.,3.6,300,Hands Armor
Leather Gloves,Hunter,Gloves made of soft leather. Very common type of protective gear.,2.8,250,Hands Armor
Leggings of Artorias,Artorias,"Leggings of Artorias the Abysswalker, one of Gwyn's four knights.|The death of the their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility.",5.5,600,Legs Armor
Leggings of Favor,Favor,"Leggings of Lautrec the Embraced, representing the goddess Fina's love.|During his solitude, he forsook everything, for he believed in the goddess's love for him.",6.9,500,Legs Armor
Leggings of Thorns,Thorns,"Leggings of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.|They are a fitting item for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies.",6.2,250,Legs Armor
Lord's Blade Gloves,Lord's Blade,"Gloves worn by the Lord's Blade Ciaran, one of Gwyn's four knights.|Gloves common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.",2.8,250,Hands Armor
Lord's Blade Robe,Lord's Blade,"Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights.|A robe common to all of the Lord's Blades, These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.",6.4,250,Chest Armor
Lord's Blade Waistcloth,Lord's Blade,"Waistcloth worn by the Lord's Blade Ciaran, one of Gwyn's four knights.|Waistcloth common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.",5.0,250,Legs Armor
Mage Smith Boots,Mage Smith,"Boots worn by proper mage smiths who studied at Vinheim Dragon School.|Mage smiths learn their craft alongside sorcerer's, but apply their sorcery to forging weapons with magic embers.",1.4,200,Legs Armor
Mage Smith Coat,Mage Smith,"Coat worn by proper mage smiths who studied at Vinheim Dragon School.|Mage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers.",2.3,200,Chest Armor
Mage Smith Gauntlets,Mage Smith,"Gauntlets worn by proper mage smiths who studied at Vinheim Dragon School.|Mage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers.",1.4,200,Hands Armor
Mage Smith Hat,Mage Smith,"Boots worn by proper mage smiths who studied at Vinheim Dragon School.|Mage smiths learn their craft alongside sorcerer's, but apply their sorcery to forging weapons with magic embers.",0.9,200,Head Armor
Maiden Gloves,Maiden,"White gloves worn by traveling maidens. It is part of their formal attire, regardless of rank.|It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.",1.2,150,Hands Armor
Maiden Hood,Maiden,"White hood worn by traveling maidens. It is part of their formal attire, regardless of rank.|It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.",0.8,150,Head Armor
Maiden Robe,Maiden,"White robe worn by traveling maidens. It is part of their formal attire, regardless of rank.|It is soft and well-made, but does not offer much in the way of defense, making it ill-suited to use in battle.",2.0,150,Chest Armor
Maiden Skirt,Maiden,"White skirt worn by traveling maidens. It is part of their formal attire, regardless of rank.|It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.",2.5,150,Legs Armor
Mask of Velka,Black,"Mask worn by pardoners serving Velka, the Goddess of Sin.|The pardoners listen to the confessions of sinners, urging reflection and salvation. Their masks symbolize separation from worldly desires.",2.5,400,Head Armor
Mask of the Child,,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.|This mask, belonging to the naive child, slightly raises stamina recovery speed.",1.2,200,Head Armor
Mask of the Father,,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.|This mask, belonging to the valiant father, slightly raises equipment load.",1.2,200,Head Armor
Mask of the Mother,,"One of the three masks of the Pinwheel, the necromancer who stole the power of the Gravelord, and reigns over the Catacombs.|This mask, belonging to the kindly mother, slightly raises HP.",1.2,200,Head Armor
Mask of the Sealer,Crimson,"Mask of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.|It symbolizes their resolve to keep the seal shut forever and their atonement for all who were sacrificed, but two of the three forsook New Londo upon tiring of their duty.",1.5,400,Head Armor
Moonlight Gloves,Moonlight,"Gloves of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.|The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense.",0.5,80,Hands Armor
Moonlight Robe,Moonlight,"Robe of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.|The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin and hardly provides any physical defense.",3.1,80,Chest Armor
Moonlight Waistcloth,Moonlight,"Waistcloth of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.|The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense.",1.8,80,Legs Armor
Ornstein's Armor,Ornstein's,"Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.|Ornstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it.",12.0,700,Chest Armor
Ornstein's Gauntlets,Ornstein's,"Gauntlets of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.|Ornstein is believed to be the captain of the Four Knights. His golden lion gauntlets are imbued with the power of lightning and should provide good protection against it.",4.0,700,Hands Armor
Ornstein's Helm,Ornstein's,"Helm of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.|Ornstein is believed to be the captain of the Four Knights. His golden lion helm is imbued with the power of lightning and should provide good protection against it.",5.5,700,Head Armor
Ornstein's Leggings,Ornstein's,"Leggings of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.|Ornstein is believed to be the captain of the Four Knights. His golden lion leggings are imbued with the power of lightning and should provide good protection against it.",7.0,700,Legs Armor
Painting Guardian Gloves,Painting Guardian,"Gloves worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic.|They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.",0.9,150,Hands Armor
Painting Guardian Hood,Painting Guardian,"Hood worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic.|They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.",0.6,150,Head Armor
Painting Guardian Robe,Painting Guardian,"Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic.|They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.",1.6,150,Chest Armor
Painting Guardian Waistcloth,Painting Guardian,"Waisthcloth worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic.|They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.",4.0,150,Legs Armor
Paladin Armor,Paladin,"Armor of Leeroy, Paladin of the Catacombs.|Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",12.9,500,Chest Armor
Paladin Gauntlets,Paladin,"Gauntlets of Leeroy, Paladin of the Catacombs.|Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",7.6,500,Hands Armor
Paladin Helm,Paladin,"Helm of Leeroy, Paladin of the Catacombs.|Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",5.0,500,Head Armor
Paladin Leggings,Paladin,"Leggings of Leeroy, Paladin of the Catacombs.|Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",7.6,500,Legs Armor
Pharis's Hat,Leather,"Broad-brimmed hat favored by the archer hero Pharis.|Pharis was an accomplished archer, and though he was human, he ranked alongside Hawkeye Gough, one of the Four Knights of Lord Gwyn. His hat is universally popular among children.",1.2,250,Head Armor
Porcelain Mask,Lord's Blade,"Mask of the Lord's Blade Ciaran, one of Gwyn's Four Knights.|The cyclops headpiece is common to all of the Lord's Blades, but Ciaran was determined to earn this soft porcelain mask as a unique decoration of honor. The mask is lined with ivory locks of hair.",2.5,250,Head Armor
Priest's Hat,Holy,Distinctive hat worn only by Way of White priests in Thorolund.|It is simply meant to show their position within the hierarchy. It holds almost no meaning in the land of Lordran.,1.2,350,Head Armor
Robe of the Channelers,Channeler's,"Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens.|The heaviest of protective gear for sorcerers, and imbued with magic.",10.1,300,Chest Armor
Robe of the Great Lord,Great Lord,"Robe of Gwyn, Lord of Cinder, who linked the First Flame.|Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.",6.0,400,Chest Armor
Royal Helm,,"Helm of Vamos, skeleton blacksmith of the Catacombs. Partially made of gold, and confers high resistance overall.|The helm is believed to belong to an ancient royal line, but only Vamos would know for sure, and he shall never speak again.",4.5,500,Head Armor
Sack,,"Bloodstained patchwork sack by the Undead man-eating cook lurking in the Depths. Two eyeholes have been haphazardly cut out.|It is unexpectedly soft and comfortable to wear, but it is probably near meaningless in terms of defense.",0.6,150,Head Armor
Sage Robe,Big Hat's,"Robe worn by Big Hat Logan. It is said to have been from his apprentice days at Dragon School, but it is so worn out, no one knows what it originally looked like.|Logan, who cared little for his appearance, no doubt ever bothered to change out of it.",4.0,250,Chest Armor
Shadow Garb,Shadow,"Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.|While it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",2.3,200,Chest Armor
Shadow Gauntlets,Shadow,"Black cloth gauntlets worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.|While they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",1.4,200,Hands Armor
Shadow Leggings,Shadow,"Black cloth leggings worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.|While they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",1.4,200,Legs Armor
Shadow Mask,Shadow,"Black cloth mask worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.|While it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of their duty.",0.9,200,Head Armor
Silver Knight Armor,Silver Knight,"Armor of the Silver Knights who protect Anor Londo.|When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.",12.0,600,Chest Armor
Silver Knight Gauntlets,Silver Knight,"Gauntlets of the Silver Knights who protect Anor Londo.|When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.",5.5,600,Hands Armor
Silver Knight Helm,Silver Knight,"Helm of the Silver Knights who protect Anor Londo.|When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.",4.8,600,Head Armor
Silver Knight Leggings,Silver Knight,"Leggings of the Silver Knights who protect Anor Londo.|When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.",6.5,600,Legs Armor
Six-Eyed Helm of the Channelers,Channeler's,"Helm of the Channelers, sorcerers that serve Seath the Scaleless. The six eyes arranged in two vertical columns compensate for Seath's lack of sight.|The heaviest of protective gear for sorcerers, and imbued with magic.",3.9,300,Head Armor
Smough's Armor,Smough's,"Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",17.6,700,Chest Armor
Smough's Gauntlets,Smough's,"Gauntlets of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",10.4,700,Hands Armor
Smough's Helm,Smough's,"Helm of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",6.8,700,Head Armor
Smough's Leggings,Smough's,"Leggings of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",10.4,700,Legs Armor
Snickering Top Hat,Chester's,"Black top hat worn by Marvellous Chester, a man of mystery lost in the past.|The wearer of this top hat cracks a dubious, permanent grin. The Curse of Chester!",2.0,300,Head Armor
Sorcerer Boots,Sorcerer,Boots worn by proper sorcerers who studied at Vinheim Dragon School.|The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.,1.4,200,Legs Armor
Sorcerer Cloak,Sorcerer,Cloak worn by proper sorcerers who studied at Vinheim Dragon School.|The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.,2.3,200,Chest Armor
Sorcerer Gauntlets,Sorcerer,Gauntlets worn by proper sorcerers who studied at Vinheim Dragon School.|The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.,1.4,200,Hands Armor
Sorcerer Hat,Sorcerer,Hat worn by proper sorcerers who studied at Vinheim Dragon School.|The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.,0.9,200,Head Armor
Standard Helm,Hard Leather,"A sturdy helm made of iron. Very common type of protective gear, it provides a sound level of defense.|It is wise to wear a sturdy form of head protection against arrows and other physical threats.",3.5,250,Head Armor
Steel Armor,Steel,"Armor of the Knights of Berenike, known for their heavy armaments and armor.|Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.",14.0,500,Chest Armor
Steel Gauntlets,Steel,"Gauntlets of the Knights of Berenike, known for their heavy armaments and armor|Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.",8.3,500,Hands Armor
Steel Helm,Steel,"Helm of the Knights of Berenike, known for their heavy armaments and armor.|Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.",5.4,500,Head Armor
Steel Leggings,Steel,"Leggings of the Knights of Berenike, known for their heavy armaments and armor.|Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.",8.3,500,Legs Armor
Stone Armor,Stone,"Moss-covered armor of the Stone Knight, defender of the Darkroot Garden.|The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy.",17.6,800,Chest Armor
Stone Gauntlets,Stone,"Moss-covered gauntlets of the Stone Knight, defender of the Darkroot Garden.|The Stone Knight is a product of ancient magic, and although these gauntlets are also imbued with magic, they are incredibly heavy.",10.4,800,Hands Armor
Stone Helm,Stone,"Moss-covered helm of the Stone Knight, defender of the Darkroot Garden.|The Stone Knight is a product of ancient magic, and although this helm is also imbued with magic, it is incredibly heavy.",6.8,800,Head Armor
Stone Leggings,Stone,"Moss-covered leggings of the Stone Knight, defender of the Darkroot Garden.|The Stone Knight is a product of ancient magic, and although these leggings are also imbued with magic, they are incredibly heavy.",10.4,800,Legs Armor
Sunlight Maggot,,"A loathsome parasite that inhabit Lost Izalith. It is completely immobile, yet still lives.|When worn on the head, it emanates blinding light, which is why it's known as a Sunlight Maggot.",1.4,80,Head Armor
Symbol of Avarice,,"Monster head resembling a treasure chest. Once an ancient god, it is said this is the symbol of shame imposed on a long lost clan, exiled for the sin of avarice.|Wearing this slightly raises soul absorption and item discovery, but also affects its wearer with the curse of the branded.",10.0,300,Head Armor
Tattered Cloth Hood,Tattered Cloth,"Hood worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.|Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven.",1.1,400,Head Armor
Tattered Cloth Manchette,Tattered Cloth,"Manchette worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.|Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven.",1.6,400,Hands Armor
Tattered Cloth Robe,Tattered Cloth,"Robe worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.|Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven.",2.7,400,Chest Armor
Thief Mask,Black Leather,"Mask of sinners. They hide their faces, stifle their voices and hide in the shadows. It does not provide much in the way of defense.",1.2,250,Head Armor
Traveling Boots,Big Hat's,Boots worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.,1.6,250,Legs Armor
Traveling Gloves (Big Hat's Set),Big Hat's,Gloves worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.,1.6,250,Hands Armor
Traveling Gloves (Holy Set),Holy,"Thick, sturdy gloves made for travelers on extended journeys.",0.7,350,Hands Armor
Waistcloth of the Channelers,Channeler's,"Waistcloth of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens.|The heaviest of protective gear for sorcerers, and imbued with magic.",6.0,300,Legs Armor
Wanderer Boots,Wanderer,Boots of an aimless traveler.|Made from sturdy leather. A must-have for long journeys.,2.1,400,Legs Armor
Wanderer Coat,Wanderer,Coat of an aimless traveler. Made from sturdy leather and quilting.,3.5,400,Chest Armor
Wanderer Hood,Wanderer,"Hood of an aimless traveler. Made from sturdy leather, it offers protection versus wind and rain.",1.4,400,Head Armor
Wanderer Manchette,Wanderer,Manchette of an aimless traveler.|Made from sturdy leather and protects the hands.,2.1,400,Hands Armor
Witch Cloak,Witch,"Cloak of the rogue witch Beatrice.|Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.",4.0,250,Chest Armor
Witch Gloves,Witch,"Gloves of the rogue witch Beatrice.|Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.",1.7,250,Hands Armor
Witch Hat,Witch,"Hat of the rogue witch Beatrice.|Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.",1.1,250,Head Armor
Witch Skirt,Witch,"Skirt of the rogue witch Beatrice.|Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.",2.5,250,Legs Armor
Xanthous Crown,Xanthous,"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.|The crown bears high-quality cloth which is quite soft to the touch, but its bright yellow color stings the eyes, and it is clearly far too big.",6.0,400,Head Armor
Xanthous Gloves,Xanthous,"Mysterious items once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.|They may be tattered, but its bright yellow color still stings the eyes.",2.3,400,Hands Armor
Xanthous Overcoat,Xanthous,"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.|It may be tattered, but its bright yellow color still stings the eyes.",3.9,400,Chest Armor
Xanthous Waistcloth,Xanthous,"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.|It may be tattered, but its bright yellow color still stings the eyes.",4.0,400,Legs Armor
